number,linux_name,semantic_area,dispatch_status,semantic_status,test_covered,dispatch_handlers,evidence,remaining_gap
46,sendmsg,socket-network,struct-risk,semantic-partial,no,sys_sendmsg,native sendmsg number is wired,msghdr/control-message semantics are partial
47,recvmsg,socket-network,struct-risk,semantic-partial,no,sys_recvmsg,native recvmsg number is wired,msghdr/control-message semantics are partial
48,shutdown,socket-network,native-ok,compatible-by-inspection,no,sys_shutdown,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
49,bind,socket-network,native-ok,compatible-by-inspection,no,sys_bind,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
50,listen,socket-network,native-ok,compatible-by-inspection,no,sys_listen,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
51,getsockname,socket-network,struct-risk,semantic-partial,no,sys_getsockname,native getsockname number is wired,sockaddr length/value matrix remains
52,getpeername,socket-network,struct-risk,semantic-partial,no,sys_getpeername,native getpeername number is wired,sockaddr length/value matrix remains
53,socketpair,socket-network,native-ok,compatible-by-inspection,no,sys_socketpair,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
54,setsockopt,socket-network,struct-risk,semantic-partial,no,sys_setsockopt,native setsockopt number is wired,option coverage is partial
55,getsockopt,socket-network,struct-risk,semantic-partial,no,sys_getsockopt,native getsockopt number is wired,option coverage is partial
56,clone,process-thread,struct-risk,semantic-partial,no,sys_clone,"Linux clone(flags, stack, ptid, ctid, tls) path is wired","flag validation, pidfd, namespace, and thread-group edge cases are partial"
57,fork,process-thread,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
58,vfork,process-thread,native-ok,probed-compatible-core,no,sys_vfork,"VM boot vforktest passes exit, exec, and parent-blocking cases",deep signal/thread interactions remain
59,execve,process-thread,native-ok,compatible-by-inspection,no,sys_exec,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
60,exit,process-thread,native-ok,probed-compatible-core,yes,sys_exit,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
61,wait4,process-thread,native-ok,semantic-partial,no,sys_waitpid,waitpid-compatible handler is wired,rusage and option matrix are partial
62,kill,signal,native-ok,compatible-by-inspection,no,sys_kill,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
63,uname,other,struct-risk,semantic-partial,no,sys_uname,uname handler is wired,reported Linux identity is xv6-specific
64,semget,ipc,native-ok,compatible-by-inspection,no,sys_semget,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
65,semop,ipc,native-ok,compatible-by-inspection,no,sys_semop,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
66,semctl,ipc,native-ok,compatible-by-inspection,no,sys_semctl,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
67,shmdt,ipc,native-ok,compatible-by-inspection,no,sys_shmdt,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
68,msgget,ipc,native-ok,compatible-by-inspection,no,sys_msgget,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
69,msgsnd,ipc,native-ok,compatible-by-inspection,no,sys_msgsnd,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
70,msgrcv,ipc,native-ok,compatible-by-inspection,no,sys_msgrcv,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
71,msgctl,ipc,native-ok,compatible-by-inspection,no,sys_msgctl,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
72,fcntl,fd-vfs,struct-risk,semantic-partial,no,sys_vfs_fcntl,F_GETFD/F_SETFD/F_DUPFD/F_SETFL and seals are implemented,fcntl command surface is partial
73,flock,fd-vfs,native-ok,compatible-by-inspection,no,sys_flock,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
74,fsync,fd-vfs,native-ok,compatible-by-inspection,no,sys_vfs_fsync,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
75,fdatasync,fd-vfs,native-ok,compatible-by-inspection,no,sys_vfs_fdatasync,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
76,truncate,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
77,ftruncate,fd-vfs,native-ok,compatible-by-inspection,no,sys_vfs_ftruncate,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
78,getdents,fd-vfs,struct-risk,probed-compatible-core,yes,sys_getdents_compat,raw getdents(78) old dirent layout test passes,large-directory and short-buffer behavior need broader coverage
79,getcwd,fd-vfs,native-ok,probed-compatible-core,yes,sys_getcwd,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
80,chdir,fd-vfs,native-ok,compatible-by-inspection,no,sys_vfs_chdir,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
81,fchdir,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
82,rename,fd-vfs,native-ok,compatible-by-inspection,no,sys_vfs_rename,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
83,mkdir,fd-vfs,native-ok,compatible-by-inspection,no,sys_vfs_mkdir,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
84,rmdir,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
85,creat,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
86,link,fd-vfs,native-ok,compatible-by-inspection,no,sys_vfs_link,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
87,unlink,fd-vfs,native-ok,compatible-by-inspection,no,sys_vfs_unlink,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
88,symlink,fd-vfs,native-ok,compatible-by-inspection,no,sys_vfs_symlink,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
89,readlink,fd-vfs,native-ok,probed-compatible-core,yes,sys_vfs_readlink,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
90,chmod,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
91,fchmod,fd-vfs,native-ok,compatible-by-inspection,no,sys_vfs_fchmod,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
92,chown,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
93,fchown,fd-vfs,native-ok,probed-compatible-core,yes,sys_vfs_fchown,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
94,lchown,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
95,umask,other,native-ok,compatible-by-inspection,no,sys_umask,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
96,gettimeofday,time-scheduler,native-ok,probed-compatible-core,yes,sys_gettimeofday,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
97,getrlimit,process-thread,struct-risk,semantic-partial,no,sys_getrlimit,Linux struct rlimit layout is used,resource coverage is partial
98,getrusage,process-thread,struct-risk,semantic-partial,no,sys_getrusage,Linux rusage layout is used,many counters are zero/minimal
99,sysinfo,process-thread,struct-risk,probed-compatible-core,yes,sys_sysinfo,raw sysinfo call passes with Linux layout,load/memory fields are approximate
100,times,other,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
101,ptrace,other,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
102,getuid,identity,native-ok,probed-compatible-core,yes,sys_getuid,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
103,syslog,other,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
104,getgid,identity,native-ok,probed-compatible-core,yes,sys_getgid,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
105,setuid,identity,native-ok,compatible-by-inspection,no,sys_setuid,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
106,setgid,identity,native-ok,compatible-by-inspection,no,sys_setgid,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
107,geteuid,identity,native-ok,probed-compatible-core,yes,sys_geteuid,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
108,getegid,identity,native-ok,probed-compatible-core,yes,sys_getegid,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
109,setpgid,identity,native-ok,compatible-by-inspection,no,sys_setpgid,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
110,getppid,process-thread,native-ok,probed-compatible-core,yes,sys_getppid,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
111,getpgrp,other,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
112,setsid,identity,native-ok,compatible-by-inspection,no,sys_setsid,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
113,setreuid,other,native-ok,probed-compatible-core,yes,sys_setreuid,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
114,setregid,other,native-ok,probed-compatible-core,yes,sys_setregid,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
115,getgroups,identity,struct-risk,semantic-partial,no,sys_getgroups,native number reaches matching handler,supplementary groups are minimal
116,setgroups,identity,struct-risk,semantic-partial,no,sys_setgroups,native number reaches matching handler,permission/group database semantics are minimal
117,setresuid,identity,native-ok,compatible-by-inspection,no,sys_setresuid,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
118,getresuid,identity,struct-risk,probed-compatible-core,yes,sys_getresuid,raw getresuid test passes,credential permission model is minimal
119,setresgid,identity,native-ok,compatible-by-inspection,no,sys_setresgid,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
120,getresgid,identity,struct-risk,probed-compatible-core,yes,sys_getresgid,raw getresgid test passes,credential permission model is minimal
121,getpgid,identity,native-ok,compatible-by-inspection,no,sys_getpgid,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
122,setfsuid,other,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
123,setfsgid,other,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
124,getsid,identity,native-ok,compatible-by-inspection,no,sys_getsid,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
125,capget,other,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
126,capset,other,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
127,rt_sigpending,signal,struct-risk,probed-compatible-core,yes,sys_rt_sigpending,raw rt_sigpending sigsetsize tests pass,queued realtime signal detail is partial
128,rt_sigtimedwait,signal,struct-risk,semantic-partial,yes,sys_rt_sigtimedwait,raw zero-timeout and sigsetsize tests pass,nonzero timeout currently falls through to sigwait-style blocking
129,rt_sigqueueinfo,signal,struct-risk,semantic-partial,no,sys_rt_sigqueueinfo,native number reaches matching handler,siginfo payload fidelity and permission semantics are partial
130,rt_sigsuspend,signal,struct-risk,probed-compatible-core,yes,sys_rt_sigsuspend,raw rt_sigsuspend bad-size test passes,blocking/delivery matrix remains
131,sigaltstack,signal,struct-risk,semantic-partial,no,sys_sigaltstack,native number reaches matching handler,Linux altstack flag matrix and signal-frame use need more tests
132,utime,other,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
133,mknod,other,native-ok,compatible-by-inspection,no,sys_vfs_mknod,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
134,uselib,other,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
135,personality,other,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
136,ustat,other,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
137,statfs,fd-vfs,struct-risk,probed-compatible-core,yes,sys_statfs,raw statfs('/') layout and dispatch test passes,filesystem-specific fields are minimal
138,fstatfs,fd-vfs,struct-risk,semantic-partial,no,sys_fstatfs,native fstatfs number reaches matching handler,raw fstatfs layout regression still needed
139,sysfs,other,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
140,getpriority,other,native-ok,compatible-by-inspection,no,sys_getpriority,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
141,setpriority,other,native-ok,compatible-by-inspection,no,sys_setpriority,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
142,sched_setparam,time-scheduler,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
143,sched_getparam,time-scheduler,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
144,sched_setscheduler,time-scheduler,native-ok,compatible-by-inspection,no,sys_sched_setscheduler,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
145,sched_getscheduler,time-scheduler,native-ok,compatible-by-inspection,no,sys_sched_getscheduler,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
146,sched_get_priority_max,time-scheduler,native-ok,compatible-by-inspection,no,sys_sched_get_priority_max,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
147,sched_get_priority_min,time-scheduler,native-ok,compatible-by-inspection,no,sys_sched_get_priority_min,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
148,sched_rr_get_interval,time-scheduler,native-ok,compatible-by-inspection,no,sys_sched_rr_get_interval,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
149,mlock,memory,native-ok,probed-compatible-core,yes,sys_mlock,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
150,munlock,memory,native-ok,probed-compatible-core,yes,sys_munlock,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
151,mlockall,memory,native-ok,probed-compatible-core,yes,sys_mlockall,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
152,munlockall,memory,native-ok,probed-compatible-core,yes,sys_munlockall,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
153,vhangup,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
154,modify_ldt,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
155,pivot_root,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
156,_sysctl,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
157,prctl,process-thread,native-ok,probed-compatible-core,yes,sys_prctl,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
158,arch_prctl,process-thread,struct-risk,semantic-partial,no,sys_arch_prctl,ARCH_SET_FS/GET_FS path is wired for TLS,GS and full arch_prctl command surface are deliberately limited
159,adjtimex,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
160,setrlimit,process-thread,struct-risk,semantic-partial,no,sys_setrlimit,Linux struct rlimit layout is used,privilege/resource enforcement is partial
161,chroot,fd-vfs,native-ok,compatible-by-inspection,no,sys_chroot,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
162,sync,fd-vfs,native-ok,compatible-by-inspection,no,sys_sync,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
163,acct,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
164,settimeofday,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
165,mount,fd-vfs,native-ok,compatible-by-inspection,no,sys_mount,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
166,umount2,fd-vfs,native-ok,compatible-by-inspection,no,sys_umount,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
167,swapon,other,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
168,swapoff,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
169,reboot,other,native-ok,probed-compatible-core,yes,sys_reboot,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
170,sethostname,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
171,setdomainname,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
172,iopl,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
173,ioperm,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
174,create_module,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
175,init_module,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
176,delete_module,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
177,get_kernel_syms,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
178,query_module,other,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
179,quotactl,other,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
180,nfsservctl,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
181,getpmsg,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
182,putpmsg,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
183,afs_syscall,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
184,tuxcall,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
185,security,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
186,gettid,process-thread,native-ok,probed-compatible-core,yes,sys_gettid,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
187,readahead,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
188,setxattr,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
189,lsetxattr,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
190,fsetxattr,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
191,getxattr,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
192,lgetxattr,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
193,fgetxattr,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
194,listxattr,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
195,llistxattr,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
196,flistxattr,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
197,removexattr,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
198,lremovexattr,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
199,fremovexattr,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
200,tkill,signal,native-ok,compatible-by-inspection,no,sys_tkill,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
201,time,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
202,futex,other,native-ok,compatible-by-inspection,no,sys_futex,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
203,sched_setaffinity,time-scheduler,native-ok,probed-compatible-core,yes,sys_sched_setaffinity,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
