name	path	kind	role	allowed_scope
cloexectest	user/programs/cloexectest	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
cowtest	user/programs/cowtest	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
mmaptest	user/programs/mmaptest	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
mmapbigfile	user/programs/mmapbigfile	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
fdtabletest	user/programs/fdtabletest	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
iovectest	user/programs/iovectest	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
kqueuetest	user/programs/kqueuetest	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
timerfdstress	user/programs/timerfdstress	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
syscalltest	user/programs/syscalltest	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
linuxsyscallabitest	user/programs/linuxsyscallabitest	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
testsig	user/programs/testsig	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
usertests	user/programs/usertests	local-program	stress-test	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
grind	user/programs/grind	local-program	stress-test	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
crashtest	user/programs/crashtest	local-program	stress-test	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
stressfs	user/programs/stressfs	local-program	stress-test	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
iobench	user/programs/iobench	local-program	stress-test	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
symlinktest	user/programs/symlinktest	local-program	local-diagnostic	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
blocksendwake	user/programs/blocksendwake	local-program	stress-test	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
dontwaitsend	user/programs/dontwaitsend	local-program	stress-test	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
dnsstress	user/programs/dnsstress	local-program	stress-test	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
tcpstress	user/programs/tcpstress	local-program	stress-test	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
fbstat	user/programs/fbstat	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
gldemo	user/programs/gldemo	local-program	local-diagnostic	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
virgltest	user/programs/virgltest	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
gpubuftest	user/programs/gpubuftest	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
gpucorevalidate	user/programs/gpucorevalidate	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
drmabitest	user/programs/drmabitest	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
drmiftest	user/programs/drmiftest	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
drmprimeprobe	user/programs/drmprimeprobe	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
nouveauabitest	user/programs/nouveauabitest	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
dxgprobe	user/programs/dxgprobe	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
d3d12probe	user/programs/d3d12probe	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
ttmtest	user/programs/ttmtest	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
webkitabitest	user/programs/webkitabitest	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
webkitnettest	user/programs/webkitnettest	local-program	abi-probe	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
preempttest	user/programs/preempttest	local-program	stress-test	xv6-authored diagnostic/test/probe code; raw ABI checks must remain test-only
libudev	ports/libudev	local-shim	local-compat-shim	xv6-owned compatibility surface; keep upstream-compatible ABI, not app-specific shortcuts
libseat	ports/libseat	local-shim	local-compat-shim	xv6-owned compatibility surface; keep upstream-compatible ABI, not app-specific shortcuts
libevdev	ports/libevdev	local-shim	local-compat-shim	xv6-owned compatibility surface; keep upstream-compatible ABI, not app-specific shortcuts
libinput	ports/libinput	local-shim	local-compat-shim	xv6-owned compatibility surface; keep upstream-compatible ABI, not app-specific shortcuts
xv6-gbm	ports/xv6-gbm	local-shim	local-compat-shim	xv6-owned compatibility surface; keep upstream-compatible ABI, not app-specific shortcuts
wayland	ports/wayland	local-shim	local-compat-shim	xv6-owned compatibility surface; keep upstream-compatible ABI, not app-specific shortcuts
